,gene_name
5293,RP11-350O14.18
5294,RP11-111H13.1
5295,TSNARE1
5296,SLC2A1
5297,PTH2
5298,RP11-543B16.5
5299,ACTR10
5300,ZCCHC2
5301,DEFB118
5302,PKP2
5303,SRMS
5304,LGALS8
5305,ST6GALNAC5
5306,TULP2
5307,IER2
5308,IL1R1
5309,MYO1F
5310,SLC30A1
5311,XXbac-BPG300A18.14
5312,OPN1MW
5313,VIPAS39
5314,EMX1
5315,GPR83
5316,FMR1NB
5317,TRMT1L
5318,COL1A1
5319,ACOD1
5320,SMOC1
5321,CCT8
5322,RUSF1
5323,RP9
5324,MMD
5325,DYNC1I1
5326,LY6L
5327,ACAD9
5328,PLEKHF2
5329,RAPGEF4
5330,CEP70
5331,SLC16A12
5332,SLC17A7
5333,BRF2
5334,TTC24
5335,C2CD2L
5336,VSIG8
5337,OR1L3
5338,SHFL
5339,PRPF40A
5340,OR11L1
5341,ACOT1
5342,BAG1
5343,SLCO2A1
5344,ADPRM
5345,GAS2
5346,TSPYL6
5347,WIPF1
5348,NBPF11
5349,CDK7
5350,RLN3
5351,ELAVL2
5352,ZNF266
5353,IRF7
5354,WDR5B
5355,MPP5
5356,C1QL1
5357,WFDC10B
5358,KRTAP4-1
5359,CNTF
5360,GPRIN1
5361,KLK15
5362,MAP3K14
5363,UBXN11
5364,MPST
5365,GON4L
5366,DCST1
5367,PLXND1
5368,TMIGD1
5369,C1QTNF9B
5370,UXT
5371,EMP2
5372,LMO1
5373,RP1
5374,MIPOL1
5375,PIGBOS1
5376,LGALS12
5377,CTAGE6
5378,VCL
5379,TAS2R5
5380,PHC1
5381,NCF1
5382,GREM2
5383,SYN1
5384,HOXA2
5385,ZDHHC3
5386,HELZ2
5387,GDI2
5388,SASH3
5389,IRX1
5390,UNC13A
5391,SHC3
5392,KRTAP4-8
5393,UGT1A7
5394,GIMAP5
5395,SHISAL1
5396,SNRPD2
5397,SYNPO
5398,PRAMEF33
5399,CD1B
5400,OTUD6B
5401,FAM90A16P
5402,RP11-986E7.7
5403,ZNF813
5404,CDY1
5405,CLCNKA
5406,BIVM-ERCC5
5407,KHDRBS2
5408,TSC2
5409,SPESP1
5410,CACNA2D2
5411,AFM
5412,USP1
5413,OR12D3
5414,PREB
5415,NOVA1
5416,ZER1
5417,SALL3
5418,SFTPD
5419,TMEM171
5420,AP3M2
5421,RPS7
5422,TAF11L11
5423,LY6H
5424,RP11-606E8.2
5425,ZBTB48
5426,EP300
5427,TRPM3
5428,KLHL7
5429,KCNG1
5430,TBC1D10B
5431,OR4K13
5432,TARS1
5433,OR6C68
5434,THUMPD1
5435,POLR1A
5436,C4orf45
5437,IL9R
5438,E2F1
5439,CLEC2D
5440,C8orf89
5441,METTL21C
5442,FAM219A
5443,REPIN1
5444,FGF4
5445,AKT3
5446,MPG
5447,SERP2
5448,CCDC126
5449,PARK7
5450,METTL11B
5451,PDE5A
5452,BOLA1
5453,PRR20B
5454,METTL7B
5455,COX4I1
5456,KLF14
5457,OR2T11
5458,RHOT2
5459,UBE2D3
5460,IL36G
5461,ARF4
5462,ASXL1
5463,RBM11
5464,CDK16
5465,TRAPPC13
5466,UBE2G2
5467,RP11-281A20.3
5468,RASD2
5469,DDX25
5470,VNN1
5471,CDKL4
5472,FAM71E2
5473,C1orf210
5474,TSC22D1
5475,SLITRK3
5476,ARHGAP8
5477,CLK2
5478,ASAP1
5479,EIF2B2
5480,P2RY1
5481,PLPPR3
5482,DEFA3
5483,KCTD10
5484,LENG1
5485,CATIP
5486,SNORC
5487,CAND2
5488,KATNB1
5489,NACC2
5490,ATRAID
5491,MICAL2
5492,GAGE12D
5493,KCND1
5494,OR1Q1
5495,MS4A4A
5496,POGLUT3
5497,SCP2D1
5498,SPRR2A
5499,SEZ6
5500,CEACAM21
5501,TYMP
5502,CD59
5503,DCUN1D4
5504,OR10S1
5505,SLC5A10
5506,DLG4
5507,SLC31A1
5508,MRPL22
5509,MICU2
5510,HNRNPA1L2
5511,SLC4A1AP
5512,GATA4
5513,DHX40
5514,UBQLN2
5515,CBARP
5516,MTF2
5517,CTB-102L5.4
5518,FLG
5519,STAT4
5520,CDK14
5521,RPL31
5522,SERTAD2
5523,RSAD1
5524,MRPL54
5525,NBPF4
5526,FIS1
5527,PDPK1
5528,GYS1
5529,TCF19
5530,ZFPM2
5531,APAF1
5532,NFKBID
5533,RP11-101E3.5
5534,SERPINI2
5535,IPCEF1
5536,PLB1
5537,YIPF4
5538,CHTF8
5539,TXNDC16
5540,ZNF267
5541,ADAM29
5542,SPOP
5543,DAPL1
5544,CMTM6
5545,C8orf33
5546,ACADVL
5547,ABI1
5548,ZNF415
5549,CT47A3
5550,DNAJC11
5551,PPIAL4C
5552,NECAB3
5553,PAXX
5554,RORB
5555,SHCBP1L
5556,GJD4
5557,VEZF1
5558,TOE1
5559,ZNF26
5560,TAF11L3
5561,SLC27A6
5562,RPLP1
5563,ZNF157
5564,FAM160A1
5565,PRR5-ARHGAP8
5566,USP39
5567,CTD-3138B18.4
5568,TCHP
5569,KLK7
5570,SLC7A11
5571,ANAPC10
5572,TEX48
5573,C14orf93
5574,ACSM3
5575,SLC49A3
5576,OR1L6
5577,APBA3
5578,SIAH3
5579,MLLT10
5580,XCL1
5581,RP11-449H3.3
5582,EIF3G
5583,HSD17B3
5584,CTC1
5585,C6orf89
5586,PNP
5587,PITPNC1
5588,NAV3
5589,USP21
5590,TMTC4
5591,LBP
5592,MYO7A
5593,FRMPD1
5594,IL7
5595,SSTR3
5596,RFX1
5597,FOCAD
5598,CLGN
5599,FMN2
5600,ZNF77
5601,MRPL28
5602,PPP3R1
5603,CHDH
5604,SIGMAR1
5605,TTC9C
5606,PBK
5607,AKR1C1
5608,TATDN3
5609,KANSL3
5610,MAFF
5611,DTYMK
5612,SFTPA2
5613,FAM107A
5614,OCSTAMP
5615,VIRMA
5616,SLC17A5
5617,HMBS
5618,AADACL2
5619,SCN2B
5620,CDY1B
5621,CUX1
5622,SMC5
5623,ZFP28
5624,OLIG1
5625,HEY1
5626,HERPUD2
5627,PSMB10
5628,PLA2G7
5629,TRIM6-TRIM34
5630,MACC1
5631,FNIP1
5632,RP11-231C18.3
5633,C21orf58
5634,TRIP6
5635,SLC13A1
5636,LSM14B
5637,RP11-438J1.1
5638,CRYBA2
5639,FBXL4
5640,TRIM65
5641,TBC1D17
5642,NEK6
5643,GYPE
5644,RP11-343C2.12
5645,ADK
5646,RIPPLY2
5647,FRG1
5648,TRUB1
5649,KLHL10
5650,BAK1
5651,RP11-660K21.1
5652,NWD1
5653,POMZP3
5654,PGLYRP3
5655,PURB
5656,POTEE
5657,GDPD4
5658,ENPP5
5659,LAP3
5660,LIMK1
5661,FAM189A2
5662,OR6T1
5663,CCL24
5664,RP1-309K20.6
5665,SLIT2
5666,PSMC4
5667,SMARCA1
5668,CAPN12
5669,PZP
5670,ZNF718
5671,ZBTB18
5672,PTP4A2
5673,WFIKKN1
5674,PLGRKT
5675,PRKD2
5676,INTS11
5677,KATNAL1
5678,RSPH3
5679,MAMSTR
5680,PIK3C2B
5681,WDR87
5682,SLC1A7
5683,MINDY2
5684,DUSP19
5685,KATNBL1
5686,PRMT1
5687,GPATCH2
5688,GLI3
5689,COQ8A
5690,KRTAP5-4
5691,TSHR
5692,USP26
5693,OPA3
5694,SLITRK1
5695,KRT1
5696,GLRX5
5697,ZNF326
5698,EEF1E1
5699,YAE1
5700,PTPRB
5701,KLF16
5702,MBP
5703,DMAP1
5704,RP11-463C8.4
5705,TMED7-TICAM2
5706,VCX2
5707,RBM45
5708,ADGRA3
5709,ALDH1A2
5710,DPP9
5711,RNF138
5712,GLS
5713,ALS2CL
5714,SAMD3
5715,PTBP2
5716,PIGW
5717,YIF1B
5718,DCPS
5719,IRS1
5720,DNAJC5G
5721,FANCA
5722,TMEM179B
5723,HPS1
5724,MAPK8
5725,BLID
5726,MYH9
5727,TUG1
5728,PCDHA9
5729,SHISA9
5730,C1QTNF4
5731,ATCAY
5732,RBM3
5733,STON1
5734,UIMC1
5735,TRAPPC8
5736,TGIF2-RAB5IF
5737,MTRNR2L1
5738,HYLS1
5739,PATE2
5740,CCND2
5741,OR6C6
5742,TBC1D30
5743,NPFF
5744,BFSP1
5745,STARD13
5746,AKT2
5747,RLN1
5748,OR13C8
5749,MICOS13
5750,SMIM20
5751,R3HDM1
5752,XPNPEP3
5753,TULP4
5754,CTCF
5755,GGA2
5756,RHOQ
5757,OR52D1
5758,SLC5A8
5759,GAK
5760,MRPS12
5761,PLP1
5762,DES
5763,CREB1
5764,CREB3
5765,TAAR6
5766,DNAJB6
5767,PERCC1
5768,TSPAN11
5769,MTMR7
5770,PCDHGA3
5771,TXNRD1
5772,USP10
5773,NME3
5774,IL2RB
5775,EEF2
5776,GFPT2
5777,GIP
5778,KXD1
5779,RTN3
5780,TXNRD3
5781,REEP2
5782,HMGCR
5783,RMDN3
5784,HDGFL1
5785,ADAMTS10
5786,PCK1
5787,OR8U3
5788,ZSCAN32
5789,SPIRE1
5790,CCDC181
5791,GSDMD
5792,GPR160
5793,FMC1-LUC7L2
5794,ATP11B
5795,RGS20
5796,MTMR2
5797,COX7B
5798,PDHX
5799,BRD1
5800,CLIC6
5801,CTU1
5802,NFKBIZ
5803,H3Y2
5804,CAPN11
5805,PHLPP1
5806,RAB3A
5807,SYP
5808,CNTN4
5809,RTP2
5810,TRIM49C
5811,ATP5F1B
5812,BNIP1
5813,P2RX3
5814,GPR87
5815,STRAP
5816,CGRRF1
5817,CFC1
5818,STARD8
5819,PGRMC2
5820,REX1BD
5821,RRAS2
5822,STX8
5823,FGFBP2
5824,MED19
5825,SAV1
5826,OLFML1
5827,YWHAZ
5828,WEE1
5829,TRABD2B
5830,AKAP6
5831,TP53TG3D
5832,GGNBP2
5833,TMEM184B
5834,CYP2W1
5835,PMPCB
5836,ENGASE
5837,HNRNPLL
5838,TGS1
5839,REXO2
5840,CADM3
5841,FITM2
5842,PPP1R12A
5843,LYNX1-SLURP2
5844,OR11H2
5845,LEMD3
5846,GALNT3
5847,PSMA1
5848,SMARCAL1
5849,KLHL29
5850,AKR7A3
5851,OR10R2
5852,KRBA2
5853,NDUFS4
5854,KCNJ11
5855,FBXO10
5856,OR51A7
5857,GCSAML
5858,PTPN23
5859,TAF11L5
5860,TUT1
5861,ZNF439
5862,ZDHHC4
5863,RPRD1A
5864,RNF40
5865,C5orf47
5866,RNF144A
5867,SLC26A7
5868,NRBP1
5869,CACNG2
5870,ECT2L
5871,SLC10A5
5872,LACTB
5873,NUP155
5874,UBE2T
5875,SLC6A4
5876,MLXIPL
5877,SLC5A9
5878,SPATS1
5879,CYP4F22
5880,AKAP4
5881,PTPRD
5882,NAT10
5883,ABCC9
5884,HERC6
5885,PDCD4
5886,ACOXL
5887,SCFD2
5888,CDC42
5889,ITGB3BP
5890,TTC21A
5891,HTN3
5892,SMIM6
5893,RAPGEF6
5894,IQCF5
5895,CFAP100
5896,VEZT
5897,FKBP14
5898,DNAJC14
5899,NAPB
5900,JRKL
5901,RAET1E
5902,DPM3
5903,PDYN
5904,GSTA2
5905,LHX2
5906,TOP3B
5907,NR2E1
5908,OSTC
5909,HIRA
5910,ZNF738
5911,CRABP1
5912,PHF19
5913,ZMYM2
5914,GSTA3
5915,VARS1
5916,RPTOR
5917,CNTNAP3
5918,OR10A3
5919,CACNA1H
5920,YY1AP1
5921,RNF151
5922,PHF1
5923,NLRC3
5924,CDCA7L
5925,MIS18BP1
5926,ITPKC
5927,KCNN3
5928,TNKS1BP1
5929,MRPL37
5930,RNASEK
5931,RAD51AP1
5932,XRRA1
5933,BABAM2
5934,RPS29
5935,EXOC3
5936,HSFY1
5937,IFNAR2
5938,CRISP1
5939,LRRC8A
5940,CH17-270A2.2
5941,ANGPT1
5942,HORMAD2
5943,DYNC1LI1
5944,RBMS3
5945,TRIM15
5946,MIDN
5947,SLC25A35
5948,RPS27AP5
5949,SLC30A5
5950,PSMC3
5951,IL3RA
5952,HESX1
5953,KBTBD3
5954,KLF15
5955,MOB3A
5956,MRPL9
5957,DAW1
5958,HTRA3
5959,TAT
5960,HBA2
5961,HMSD
5962,OR11H6
5963,GNG5
5964,MPP7
5965,PCDHGA12
5966,FCER1G
5967,SLC26A3
5968,SPACA5B
5969,EIF4E2
5970,IHO1
5971,RP1-120G22.12
5972,ALG8
5973,LRRC30
5974,FBL
5975,TEC
5976,KDM2A
5977,RECK
5978,ARHGDIG
5979,CLK4
5980,CBR1
5981,SGPP2
5982,APOL2
5983,LRR1
5984,GAGE10
5985,AMACR
5986,KLHL21
5987,SPTY2D1
5988,PIAS2
5989,PRAMEF17
5990,C18orf25
5991,USP24
5992,LMO7
5993,BID
5994,IFNL3
5995,SLC11A2
5996,FZD6
5997,HAND1
5998,EPX
5999,KRT28
6000,CEBPA
6001,IL5RA
6002,PAAF1
6003,POMGNT1
6004,TPST1
6005,FOXJ1
6006,TMEM98
6007,TRA2B
6008,NIPAL2
6009,SAP18
6010,PTGES
6011,GLUD2
6012,LIMS1
6013,RBM6
6014,TMEM139
6015,DMC1
6016,RBM10
6017,PSMB8
6018,RP11-422P24.15
6019,AL021546.6
6020,ZDHHC6
6021,MYOZ3
6022,H1-1
6023,RFXAP
6024,DSCC1
6025,GLOD4
6026,SPRY4
6027,SYT3
6028,ACACB
6029,SLC6A7
6030,MYRF
6031,ZNF746
6032,ZNF778
6033,DHX29
6034,SLC46A2
6035,RP11-634B7.5
6036,TEX51
6037,DBN1
6038,TMEM239
6039,SEH1L
6040,GPRC6A
6041,IL4I1
6042,ORAI3
6043,HYKK
6044,NEFL
6045,OR51S1
6046,FAM90A26
6047,CCDC27
6048,RBIS
6049,MAU2
6050,UCN3
6051,NSA2
6052,ZNF696
6053,KIAA1586
6054,NOTCH3
6055,FDCSP
6056,WARS1
6057,ZSWIM4
6058,CCDC197
6059,GRB2
6060,CLEC14A
6061,TRIP11
6062,GNG12
6063,MNS1
6064,PDIA5
6065,USP14
6066,OR1I1
6067,BEND3
6068,TAF3
6069,RAB4B
6070,NANOS2
6071,STIL
6072,LETM2
6073,PCDHB16
6074,USP34
6075,TBC1D22A
6076,SIRT6
6077,MAP4K3
6078,CLPSL1
6079,NKAIN2
6080,FASTKD5
6081,KCNH7
6082,PYM1
6083,CHIA
6084,DOCK6
6085,STRIT1
6086,NPIPB6
6087,SRA1
6088,NR2F6
6089,SCAMP3
6090,DPM2
6091,MAPK12
6092,NUP85
6093,GTF2IRD2
6094,ZNF770
6095,ERICH6
6096,TRIM34
6097,MYCL
6098,WDR53
6099,CT45A2
6100,APH1B
6101,FLT3LG
6102,RIMKLB
6103,CANT1
6104,SOS1
6105,LDAH
6106,LRP4
6107,SERPING1
6108,ZFY
6109,NSMCE4A
6110,SPATA2L
6111,KLHL32
6112,CELF3
6113,OR13G1
6114,MORC1
6115,EZH2
6116,SPRR4
6117,MYMX
6118,HRG
6119,TMCC3
6120,MICAL1
6121,AMY2B
6122,TET1
6123,FOXR1
6124,MSH6
6125,OR5D3P
6126,TAF6L
6127,FOXD4L4
6128,MFN2
6129,GASK1B
6130,CHIC2
6131,DEGS2
6132,CALCRL
6133,UBP1
6134,EXD1
6135,NMNAT3
6136,KERA
6137,PEX26
6138,TBC1D26
6139,XPNPEP2
6140,RGPD3
6141,BRAP
6142,CTAG2
6143,MDN1
6144,RP11-404P21.8
6145,CCDC92
6146,TRMT11
6147,CIP2A
6148,JAKMIP2
6149,KL
6150,NXN
6151,INSL3
6152,AFF1
6153,CORT
6154,DEPDC1
6155,HCST
6156,RP11-849F2.7
6157,MARCHF1
6158,CENPJ
6159,HIP1
6160,TOX3
6161,TACC1
6162,ATP10B
6163,RCAN2
6164,STX1A
6165,RBMY1E
6166,DRC3
6167,C19orf85
6168,RPS17
6169,IL23A
6170,MLF1
6171,LCE3D
6172,POPDC3
6173,ABCC12
6174,MAN2B1
6175,NCAPD2
6176,REG1B
6177,TDRD7
6178,SERPINA11
6179,FAM90A7P
6180,OVOL1
6181,CPEB2
6182,DHX58
6183,VPS39
6184,HLA-DQA1
6185,PLAUR
6186,MEX3A
6187,FANCB
6188,TCEAL1
6189,MAP1LC3A
6190,DPP7
6191,GOLPH3
6192,GIN1
6193,ARHGAP45
6194,PRAMEF18
6195,ZNF675
6196,RIBC2
6197,GAREM1
6198,DTD2
6199,ZNF740
6200,NUBP2
6201,SLC32A1
6202,TMEM100
6203,NFX1
6204,CD55
6205,AC084219.2
6206,SPRR3
6207,SNX22
6208,AC007192.4
6209,APOB
6210,FGD5
6211,FRY
6212,TRIM60
6213,GEN1
6214,PCP2
6215,LIX1L
6216,NIPAL3
6217,LARS1
6218,RP3-341E18.3
6219,RNF144B
6220,LIMS3
6221,ISY1-RAB43
6222,XRN1
6223,PTRH2
6224,NRXN2
6225,LRRC61
6226,ALCAM
6227,PCLO
6228,NUDT9
6229,ZMYM1
6230,MT1H
6231,GLA
6232,ST6GALNAC2
6233,A4GNT
6234,CDHR5
6235,PES1
6236,TIPARP
6237,ACOT9
6238,CACNG3
6239,LRFN2
6240,OR5C1
6241,FARP1
6242,NUDT2
6243,C1S
6244,CREBBP
6245,TP53TG3F
6246,FGF17
6247,NELFCD
6248,DLL1
6249,TRMT10B
6250,UBE2D1
6251,CNGB1
6252,RP11-422P24.14
6253,DUXA
6254,MIGA2
6255,DLX6
6256,DNAI4
6257,CX3CR1
6258,FBXO2
6259,VPS35
6260,SLC39A12
6261,NEK7
6262,PI4KB
6263,CSRNP3
6264,CNPPD1
6265,TECRL
6266,RP11-872D17.8
6267,CLCA2
6268,GLI4
6269,KDM1B
6270,PCNX1
6271,ADRA1B
6272,TINF2
6273,KCNA10
6274,COX18
6275,CD40
6276,CYP39A1
6277,TNFSF4
6278,GABRG2
6279,HERC3
6280,TSC22D2
6281,MTFR2
6282,OR4D9
6283,CIITA
6284,PXDN
6285,H2BC5
6286,KIAA0895
6287,PRAMEF14
6288,WDR38
6289,ADAMTS14
6290,USP22
6291,FOXN4
6292,RP11-303E16.10
6293,JARID2
6294,DDR1
6295,KLK5
6296,GPR82
6297,HMGN5
6298,DYM
6299,CBX2
6300,CFAP52
6301,NPHS2
6302,ZNF774
6303,CCDC172
6304,NLRP2
6305,SYT2
6306,GINM1
6307,TMEM121B
6308,KIAA1958
6309,CYB561D2
6310,OR9K2
6311,HFM1
6312,UBL4B
6313,GUCY2C
6314,MEIKIN
6315,SLC27A4
6316,MS4A18
6317,MT1X
6318,PTPN12
6319,ZNF189
6320,SNRK
6321,UBE2F-SCLY
6322,CLASP1
6323,PMM1
6324,CXCR5
6325,TRIM49B
6326,FAM222B
6327,EGLN2
6328,AVPR2
6329,CDK10
6330,DCAF12L2
6331,C1orf122
6332,HNMT
6333,TPST2
6334,POU3F2
6335,APPL1
6336,ALOX5
6337,SCG3
6338,PITPNM3
6339,RNF222
6340,SIRT4
6341,JAGN1
6342,IKBKG
6343,NUP35
6344,HS2ST1
6345,MZB1
6346,POM121C
6347,CT47A12
6348,ATP7A
6349,ZBTB10
6350,CCDC28A
6351,TMEM30A
6352,ADM
6353,TTC16
6354,SETX
6355,CASQ2
6356,RSPO3
6357,LMOD2
6358,TRPC7
6359,DNAL1
6360,RIOK2
6361,BDNF
6362,TNNT1
6363,MRE11
6364,C1QTNF3-AMACR
6365,SEL1L
6366,MRPS17
6367,UPF3A
6368,AC003006.7
6369,SMN2
6370,OSTF1
6371,TONSL
6372,GPR139
6373,MRS2
6374,SEMA5B
6375,DMD
6376,HBE1
6377,MFSD5
6378,ZNF557
6379,CLMP
6380,VANGL2
6381,SPCS3
6382,DRD1
6383,ZNF544
6384,TAB1
6385,SERPINA7
6386,CXCR2
6387,USP25
6388,ABCG8
6389,CRAMP1
6390,CAPG
6391,PSMC3IP
6392,RAB11A
6393,RP11-227H4.8
6394,FKBPL
6395,CRIPT
6396,CRTC2
6397,SCN5A
6398,TTLL2
6399,SF3B6
6400,ADAM21
6401,OR10A2
6402,CUX2
6403,GSTT2B
6404,IP6K1
6405,CLCN2
6406,WDR33
6407,SOSTDC1
6408,GOLGA8H
6409,CTD-2583A14.9
6410,GPR151
6411,NPIPB15
6412,DNAJC12
6413,ARMT1
6414,XIRP1
6415,IFIT5
6416,RPL37A
6417,LBHD2
6418,PCYT1B
6419,ARNTL
6420,POU5F1
6421,GADD45GIP1
6422,SS18
6423,ZNF583
6424,NRBP2
6425,RNASEK-C17orf49
6426,SMG7
6427,ZNF683
6428,ZNF470
6429,RP11-831H9.11
6430,CTDSPL
6431,CCDC32
6432,SGK3
6433,FKBP11
6434,CCT6A
6435,SIAH1
6436,XKR9
6437,TADA1
6438,GUCY1B1
6439,CDH16
6440,PLEKHG1
6441,MFSD6
6442,MPPED1
6443,DPYSL4
6444,LCTL
6445,WASHC2A
6446,TBCCD1
6447,AFP
6448,MAN2B2
6449,KCNE2
6450,ARHGEF2
6451,ETDA
6452,KAT7
6453,TRIM67
6454,NLGN4Y
6455,EFEMP2
6456,ACTBL2
6457,C1R
6458,ALX3
6459,ENTPD3
6460,CYB5D2
6461,MAP3K11
6462,MIX23
6463,LMBRD1
6464,AGPAT5
6465,MAGEA4
6466,CH507-42P11.1
6467,TEX13A
6468,IPO13
6469,FRMPD2
6470,UFSP1
6471,KIFBP
6472,UCHL5
6473,HAND2
6474,SUCO
6475,CLDN4
6476,RBM27
6477,NR1H3
6478,KRTAP20-1
6479,OR51M1
6480,CCL8
6481,C10orf90
6482,FOLR3
6483,ENOX1
6484,AC005787.5
6485,TLR8
6486,CXXC4
6487,KCNAB2
6488,RASGRP2
6489,FGD6
6490,SART3
6491,SLC44A1
6492,HMMR
6493,VPS37C
6494,SLC2A8
6495,AGR3
6496,TMEM150A
6497,KRT36
6498,SDF2
6499,GTPBP8
6500,INTS1
6501,SPATA31A6
6502,CD86
6503,RAB37
6504,SHC4
6505,MFSD1
6506,CHIC1
6507,CBS
6508,BAZ2A
6509,NGFR
6510,BOLA3
6511,RGS13
6512,TMED4
6513,ZNF786
6514,PM20D1
6515,CASP10
6516,RP11-889I17.2
6517,CRCT1
6518,OR52N2
6519,ANKRD12
6520,MTHFD1
6521,NR4A1
6522,DENND1C
6523,LYPLAL1
6524,ACTR1A
6525,C10orf82
6526,KLRC4-KLRK1
6527,IGSF22
6528,GRIA3
6529,MPC2
6530,RP11-156P1.2
6531,NFYC
6532,CCDC43
6533,FH
6534,SH2B2
6535,ZNF468
6536,APOA4
6537,HM13
6538,ALDH6A1
6539,ZBTB8B
6540,TSPYL1
6541,HOXD12
6542,PDGFRA
6543,CLPSL2
6544,SVIP
6545,DUSP10
6546,EFHC2
6547,USP5
6548,NDUFAF2
6549,DLK1
6550,TCF24
6551,ILDR2
6552,DEFB103B
6553,TEAD3
6554,MIEF1
6555,GOSR2
6556,CDC42BPB
6557,RP11-316F12.1
6558,GAGE13
6559,SHROOM1
6560,ZNF565
6561,SMIM11B
6562,VPS26C
6563,MAGEA8
6564,C20orf141
6565,TMPRSS2
6566,ZFYVE28
6567,MTMR8
6568,TNNC2
6569,IMMP2L
6570,KAAG1
6571,CDCA5
6572,GALC
6573,TTR
6574,AGAP9
6575,INPPL1
6576,CCDC115
6577,CTB-161K23.3
6578,CAB39
6579,MMACHC
6580,AQP6
6581,PPIAL4H
6582,FEN1
6583,SGCA
6584,DMRT2
6585,ORC2
6586,TM9SF3
6587,H2BC10
6588,FAM171A1
6589,RRAGA
6590,OR8B2
6591,C15orf62
6592,SLCO4A1
6593,CRHBP
6594,OR51G2
6595,GML
6596,CYP1B1
6597,COG5
6598,PROC
6599,FNDC5
6600,ACP2
6601,ACTN4
6602,RAB11B
6603,LCE1A
6604,TFE3
6605,H2AP
6606,TAZ
6607,TBC1D7
6608,ATP5MJ
6609,LRRC31
6610,SHLD3
6611,SMAD6
6612,LRRC20
6613,BLM
6614,TMEM89
6615,ERCC4
6616,ST6GAL1
6617,C12orf50
6618,PRSS54
6619,TUBA3D
6620,RP5-1104E15.10
6621,GRM6
6622,RP11-244H3.4
6623,CEP63
6624,TSPAN15
6625,NDUFS6
6626,CDH10
6627,OGG1
6628,SFT2D2
6629,RHPN2
6630,C14orf180
6631,NKX2-3
6632,SPSB4
6633,PILRA
6634,FZD3
6635,ASTL
6636,EFNA2
6637,TTF1
6638,CCDC112
6639,PCDHB1
6640,EBNA1BP2
6641,OR3A3
6642,RP2
6643,NCL
6644,PRSS33
6645,ITGB1BP2
6646,SLC6A8
6647,XPO4
6648,SPDYE15
6649,PCARE
6650,BTNL2
6651,NDUFA11
6652,BEX3
6653,ATP6V0E2
6654,ARPC3
6655,QTRT1
6656,BCAM
6657,ZNF133
6658,BOD1
6659,RNF183
6660,PTPDC1
6661,SSX7
6662,APOBEC4
6663,GPR62
6664,KCTD7
6665,LCMT2
6666,VPS13D
6667,KRTAP16-1
6668,SERINC2
6669,CPEB1
6670,DENND3
6671,MYL12A
6672,TFEC
6673,PLXNB1
6674,TPPP2
6675,CBFB
6676,AP3D1
6677,TIGD5
6678,TRMO
6679,SLITRK2
6680,HTATIP2
6681,ARHGAP10
6682,WDSUB1
6683,ZDHHC13
6684,MINK1
6685,NBN
6686,UBXN8
6687,MUS81
6688,JHY
6689,GTF3C2
6690,PAX6
6691,TP53BP1
6692,RHEBL1
6693,OR4L1
6694,GHRL
6695,ODAD4
6696,TEX26
6697,PRR19
6698,KRTAP13-1
6699,C17orf49
6700,NDUFB5
6701,ANKRD39
6702,TNFAIP8L3
6703,RP11-148K1.15
6704,LST1
6705,HEMK1
6706,DNAJC10
6707,MTRES1
6708,FBXO21
6709,IPMK
6710,NDUFB11
6711,FUT3
6712,MRPL4
6713,RABL2A
6714,PGAP2
6715,CEP78
6716,PCDHGA4
6717,ZNF45
6718,EP400
6719,SELENOT
6720,ANHX
6721,RPGR
6722,NET1
6723,BSG
6724,STEEP1
6725,CDH26
6726,KLB
6727,MAPRE2
6728,IYD
6729,PIGA
6730,AZGP1
6731,TSPAN7
6732,HTRA2
6733,DLC1
6734,EPHB3
6735,SEPTIN6
6736,ABLIM1
6737,GATAD2B
6738,MROH6
6739,PRODH
6740,LRRC18
6741,PSG1
6742,SZRD1
6743,HOXB2
6744,MSTO1
6745,NOM1
6746,LMO2
6747,ADAM20
6748,RASSF1
6749,KEL
6750,MANEAL
6751,METTL4
6752,SLC19A3
6753,HMGA2
6754,NLGN2
6755,TICAM1
6756,DMRT3
6757,SNRNP48
6758,GS1-393G12.13
6759,VAMP2
6760,RANBP3
6761,SCAF1
6762,RADX
6763,GDAP1L1
6764,PRKRA
6765,STK11IP
6766,N4BP1
6767,OSBPL9
6768,LGALS4
6769,DIS3
6770,PTGES3L
6771,ECSIT
6772,DOK1
6773,HGSNAT
6774,TSHZ2
6775,RNF220
6776,USP38
6777,RBM20
6778,SOX4
6779,SSH1
6780,KLHDC3
6781,TMEM138
6782,RP11-542C16.2
6783,FRAS1
6784,DMAC2L
6785,RP4-534N18.5
6786,ZHX2
6787,BANP
6788,CSNK2A2
6789,IL18R1
6790,RP11-674E16.5
6791,TPM3
6792,CYB5R4
6793,SYVN1
6794,ENSG00000283886
6795,ZNF736
6796,BIK
6797,CCL23
6798,PATZ1
6799,LGI3
6800,MRPL38
6801,CPD
6802,LAMP1
6803,LITAF
6804,SNX29
6805,MARS2
6806,MFSD12
6807,ALKBH7
6808,YIPF2
6809,ATP2C2
6810,POC1B
6811,LHFPL1
6812,BRWD1
6813,IL12B
6814,SRRM5
6815,IL22RA1
6816,AMHR2
6817,PPP2R2B
6818,PAN3
6819,TMEM225
6820,DDX51
6821,GAGE1
6822,INAFM2
6823,HSPB6
6824,KCTD6
6825,POP5
6826,LCE2C
6827,TPBG
6828,SLC43A1
6829,C6orf62
6830,GCLM
6831,CYP46A1
