Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cancer_Cell_Line_Encyclopedia	LUDLU1 LUNG	2/115	3.196498e-01	5.644880e-01	0	0	1.759810e+00	2.007115e+00	FAT2;PI3
Cancer_Cell_Line_Encyclopedia	697 HAEMATOPOIETIC AND LYMPHOID TISSUE	3/199	3.205706e-01	5.649121e-01	0	0	1.523153e+00	1.732820e+00	IRX1;KCNMB1;IL12RB2
Cancer_Cell_Line_Encyclopedia	NCIH2106 LUNG	6/465	3.218270e-01	5.659245e-01	0	0	1.303214e+00	1.477508e+00	TMEM63C;RAB26;INPP5J;CACNA2D2;SYT9;POU4F1
Cancer_Cell_Line_Encyclopedia	SNU685 ENDOMETRIUM	2/116	3.233184e-01	5.673452e-01	0	0	1.744285e+00	1.969503e+00	GDF5;MATN3
Cancer_Cell_Line_Encyclopedia	NCIH2228 LUNG	1/39	3.245236e-01	5.682586e-01	0	0	2.613330e+00	2.941034e+00	CLDN11
Cancer_Cell_Line_Encyclopedia	CAL54 KIDNEY	2/117	3.269821e-01	5.689625e-01	0	0	1.729029e+00	1.932795e+00	CX3CL1;CXCL5
Cancer_Cell_Line_Encyclopedia	TOV21G OVARY	2/117	3.269821e-01	5.689625e-01	0	0	1.729029e+00	1.932795e+00	OSR1;RYR3
Cancer_Cell_Line_Encyclopedia	NCIH1781 LUNG	2/117	3.269821e-01	5.689625e-01	0	0	1.729029e+00	1.932795e+00	PADI2;AGR3
Cancer_Cell_Line_Encyclopedia	HUH7 LIVER	4/290	3.300757e-01	5.726223e-01	0	0	1.392465e+00	1.543454e+00	F7;PROM1;MATN3;SERPINA5
Cancer_Cell_Line_Encyclopedia	MELJUSO SKIN	2/118	3.306405e-01	5.726223e-01	0	0	1.714037e+00	1.896965e+00	SOX10;ROPN1
Cancer_Cell_Line_Encyclopedia	HS683 CENTRAL NERVOUS SYSTEM	1/40	3.312915e-01	5.726223e-01	0	0	2.546193e+00	2.812923e+00	TSLP
Cancer_Cell_Line_Encyclopedia	MJ HAEMATOPOIETIC AND LYMPHOID TISSUE	3/204	3.342400e-01	5.726223e-01	0	0	1.484885e+00	1.627280e+00	TPRG1;FSIP1;IL12RB2
Cancer_Cell_Line_Encyclopedia	VMCUB1 URINARY TRACT	2/119	3.342935e-01	5.726223e-01	0	0	1.699301e+00	1.861985e+00	FAT2;TP63
